,date,username,tweet,nlikes
0,2022-04-30 06:51:08,Arief_2792,"@henrysubiakto Agama aja sering mereka gunakan untuk menggagalkan peraturan2 yg progresif, sprt Permendikbud penghapusan kekerasan seksual",1
1,2022-04-30 06:48:37,hanifandiskyad1,"@shabrinaf_ Bukan karena saya membela feminisme, melainkan ada beberapa hal. Banyak netizen yg masih memahami feminisme sebatas pada kesetaraan gender dan perlawanan pada kekerasan seksual, bukan pembelaan pada L***",0
2,2022-04-30 06:20:16,Arief_2792,@pengarang_sajak Bebas kekerasan seksual juga serta sex education nya bagus,1
3,2022-04-30 06:11:38,Arief_2792,"@henrysubiakto @aniesbaswedan itu pdhl moderat ke liberal, buktinya aja dia bikin aturan anti kekerasan seksual di lingkungan @DKIJakarta. Kalo beliau kanan mentok konservatif kek @PKSejahtera, mana mungkin bikin gituan, kan katanya ""mElEgAlKaN zInA &amp; sEkS bEbAs""",0
4,2022-04-30 06:10:58,Arief_2792,"@HukumDan @aniesbaswedan itu pdhl moderat ke liberal, buktinya aja dia bikin aturan anti kekerasan seksual di lingkungan @DKIJakarta. Kalo beliau kanan mentok konservatif kek @PKSejahtera, mana mungkin bikin gituan, kan katanya ""mElEgAlKaN zInA &amp; sEkS bEbAs""",0
5,2022-04-30 05:22:38,airisk_,@tvindonesiawkwk Kalo cewe jual video syur cepet banget nangkepnya tapi kalo cowo pelaku kekerasan seksual dan para koruptor kok lama banget ya prosesnya🧐😞,10
6,2022-04-30 04:20:51,generasi1998,"Kadang sedih bgt, masih banyak perempuan yang masih buat konten tiktok ga jelas dgn tema ‘melecehkan dirinya sendiri’.  Sungguh ironi mengingat gimana perjuangan susahnya RUU TPKS (rancangan undang-undang tindak pidana kekerasan seksual) untuk di’sah’kan :”(  Kenapa sih :(",0
7,2022-04-30 04:15:00,idntimes,"A (23) adalah penyintas korban percobaan kekerasan seksual di Surabaya yang berhasil melarikan diri dari aksi bejat pelaku, yang merupakan temannya sendiri. Kejadian melarikan diri dari pelaku ini, terjadi pada 10 April 2022 lalu. Berikut ceritanya.   https://t.co/Wxc22rnSWt",0
8,2022-04-30 04:10:30,tudungsaaji,"@scrxnb UU TPKS udah bisa digunakan buat menjerat pelaku kekerasan seksual gasi guys? soalnya pernah baca seingetku kalo kejadiannya cuma ada pelaku dan korban itu juga di atur di UU itu, seenggaknya mungkin kakaknya sender dapat layanan pemulihan. miris bgt kalo kaya gini ga ditindak.",0
9,2022-04-30 04:07:11,tudungsaaji,"Di UU TPKS seingetku ada di atur jenis kekerasan seksual kaya gini deh, yg mana kejadiannya cuma ada pelaku dan juga korban. semoga mendapatkan keadilan buat kakaknya sender",0
10,2022-04-30 01:03:06,eLAmaravati,"Gak heran banyak anak yang diam ketika mengalami kekerasan/kekerasan seksual dari orang tuanya. Gue baru bilang gak harmonis ama ibu aja banyak yang salty. Kalian tinggal di dunia bagian mana, sih, sampai menganggap bahwa orang tua adalah berhala yang harus dipuja-puja?",18
11,2022-04-30 00:56:07,Jonibn11,"Puan menegaskan, implementasi UU TPKS nantinya akan dapat menghadapi dan menyelesaikan kasus-kasus kekerasan seksual",0
12,2022-04-30 00:55:54,Jonibn11,"“UU TPKS adalah hasil kerja bersama sekaligus komitmen bersama kita, untuk menegaskan bahwa di Indonesia tidak ada tempat bagi kekerasan seksual,”  --Puan Maharani",0
13,2022-04-30 06:55:55,jawuwawy,"@andreasharsono Sama kaya di kampus saya, korban pelecehan seksual justru dapat sanksi tidak dapat pelayanan akademik selama 2 semester, alasannya karena dia dianggap bersalah mau diajak bertemu laki-laki di malam hari. Sangat lucu ketika korbannya justru ikut dapat sanksi",2
14,2022-04-30 06:52:52,hanifandiskyad1,"@shabrinaf_ Hakikatnya, Islam juga menenkankan pada kesetaraan gender (melawan patriarki Arab-Quraisy) dan melarang keras pelecehan seksual. Nah, mereka masih memahami bahwa feminisme sejalan dg Islam karena hal ini, padahal banyak konsep lainnya yg bertentangan",1
15,2022-04-30 06:45:57,Gitgutgotta,Reply nya byk juga yg udh jadi korban pelecehan seksual begini… takut,1
16,2022-04-30 06:34:05,lndomigoreng,"Iki koncoku kenek pelecehan seksual, hah dan seng lanang iki wes tuek cok, goblok gak seh, tuek tapi gak ngrumangsani tuek, lah korbane gak wani speak up ng keluargane, lanange y tau nggudo adekku, mari tak ilokno²no, tak kiro gak se brutal iku, adakno lebih dari brutal anjing..",7
17,2022-04-30 06:33:31,detikhot,"Iqlima Kim akui dirinya menjadi korban pelecehan seksual Hotman Paris. Tak peduli gertakan Hotman, dia tegas layangkan somasi.  https://t.co/nihvXx2aAX",2
18,2022-04-30 06:20:25,CommuterLine,Kenali juga bentuk-bentuk pelecehan seksual agar kita tidak menjadi korbannya dan tahu ketika ada Rekan Commuters yang sedang mengalaminya. Segera laporkan kepada petugas di stasiun maupun kereta apabila melihat tindakan-tindakan yang mencurigakan. |2  https://t.co/EIQ93Xyo4R,5
19,2022-04-30 06:20:24,CommuterLine,"#RekanCommuters Mari saling peduli kepada sesama pengguna saat berada di transportasi publik. Pelecehan seksual dapat kita cegah bersama dengan selalu waspada terhadap apa yang terjadi di sekitar kita, dan tidak ragu untuk melakukan intervensi saat melihat tanda-tandanya. |1  https://t.co/Wek0eVreUT",6
20,2022-04-30 06:07:20,topinfo_id,Hotman Paris Bantah Lakukan Pelecehan Seksual  https://t.co/l5Jw9ackMF,1
21,2022-04-30 06:04:54,CNNIndonesia,Hotman Paris Bantah Lakukan Pelecehan Seksual  https://t.co/o0lZxdlUYg,7
22,2022-04-30 05:36:17,apasiikamutu,"@akumaunyakamuu @Askrlfess mjb, dia pelaku pelecehan seksual   https://t.co/oHG6AocH9z",1
23,2022-04-30 05:35:50,apasiikamutu,"@casisasar @Askrlfess mjb, itu pelaku pelecehan seksual kak  https://t.co/oHG6AocH9z",3
24,2022-04-30 05:26:23,id_tagar,Perang Hotman Paris Vs Iqlima Kim dalam Kasus Pelecehan Seksual  https://t.co/vcyN51E1iF,1
25,2022-04-30 05:26:05,panggil4n,"@hakxnhan @martsha_ca @AREAJULID -ing gak terjadi kasus pelecehan seksual? kalo udah terjadi baru ditindak? gitu maksud anda ya. Masuk akal, tapi tidak memberikan solusi yang cukup baik untuk dapat dikatakan sebagai salah satu usaha untuk memutus/mengurangi potensi rantai pelecehan",2
26,2022-04-30 05:21:00,kompascom,"Pengacara Hotman Paris Hutapea membantah tuduhan yang menyebutkan bahwa dirinya pernah melakukan pelecehan seksual terhadap mantan asisten pribadinya, Iqlima Kim. / #Megapolitan #JernihkanHarapan   https://t.co/7A3097e7oI",3
27,2022-04-30 05:19:40,EngkusAbdurahm1,@detikcom Ketika engkau mau terima tawaran jadi asprinya Hotman artinya engkau sudah siap menerima segala konsekwensinya. Lah sekarang malah koar2 kalau engkau mendapat perlakuan/pelecehan seksual. Iki piye toh nduk🤣🤣🤣,1
28,2022-04-30 05:08:55,holahaloble,"Demi Allah ko banyak bgt pelecehan seksual sih 🥲 apa ya kek orang2 norak bgt dah pikirannya...kayak... Apalagi sm yg ""ya lagi bajunya kebuka""... Mksdnya kek lu norak banget anjir kek gaperna liat org aja tae",1
29,2022-04-30 05:07:49,bayuwcs,"@JamesDof @Askrlfess beda konteks bambanggg, klo ini pelecehan seksual, ada jelas aturan uu nya.. kegiatan yg melanggar hukum.. jgn disamakan, yakali lu lagi me time sm keluarga lu samaain sama lu lagi colay on the rail 😒",12
30,2022-04-30 05:07:02,jpnncom,Pengacara kondang Hotman Paris memberi tanggapan setelah dirinya dituduh melakukan pelecehan seksual terhadap perempuan bernama Iqlima Kim. #HotmanParis  https://t.co/xbJeh48RnF,1
31,2022-04-30 05:03:21,nagatauww,"Kayaknya emang bener ya masih banyak pikiran2 kolot kalo ada tindakan pelecehan seksual pasti nyalahin korban dulu, langsung labelling korban yg ngga2, kebiasaan judgemental sampe nganggep kalo masalah kaya gitu tu lumrah buat sering terjadi. Hadu,memang suka ga abis thinking dah",2
32,2022-04-30 05:00:57,SINDOnews,"Bantah Lakukan Pelecehan Seksual, Hotman Paris Bongkar Sosok Iqlimah Kim   #Sindonews #BukanBeritaBiasa . https://t.co/wgzIRAhWqx",3
33,2022-04-30 05:00:51,nagatauww,"Siapapun itu deh, mau gendernya lanang kek wadon kek usia berapapun ya emang namanya tindakan pelecehan seksual emang gapantes dan biadab, dan gada satupun orang yg mau buat jadi korbannya. Kata2 udah siap dilecehkan kayaknya jahat banget apalagi dilontarkan buat korban.",1
34,2022-04-30 04:57:50,RzqiArisandii,"@detikcom Bukan ga mau membela korban pelecehan seksual, tapi saya heran kenapa kamu masih mau jadi asprinya padahal kita semua udah liat bagaimana dia memperlakukan wanita.",0
35,2022-04-30 04:57:31,nagatauww,"ga sengaja baca berita kalo hotman paris melakukan pelecehan seksual sm asprinya, di kolom komen portal beritanya ada yg bilang ""harusnya udah tau dong klo jadi asprinya dia udah siap untuk dilecehkan"". Kayak hah anjg? Gada satupun perempuan yg siap untuk dilecehkan ya.",1
36,2022-04-30 04:48:47,ujeudda,"@Askrlfess Nder saran aja ya ini mah, gak semua orang tau konteksnya apa dan gak semua orang bisa liat yg berdarah2 gitu. Jadi tolong kalo kirim mf tuh pake konteks &amp; TW.   Buat yg gatau, dia tuh pelaku pelecehan seksual. Buat lbh jelasnya nih link thread nya.    https://t.co/JsbduWvuTS",2
37,2022-04-30 04:39:57,vireidity,pelaku pelecehan seksual ada di kasta terendah stratifikasi makhluk hidup dan makhluk halus combined,1
38,2022-04-30 04:34:56,PrimaSlinger,@tvindonesiawkwk Ketika ngurus kasus korupsi dan pelecehan seksual  https://t.co/XxeMwDjnGU,1
39,2022-04-30 04:13:24,diahayu__L,@wakaraanaii @tanyakanrl Gak juga sih untuk bagian ini. Karna aku pernah kena pelecehan seksual ketika pake baju seragam sekolah yang bener-bener longgar &amp; itu gak terjadi sekali aja :),5
40,2022-04-30 04:09:43,topinfo_id,"Hotman Paris Disomasi Mantan Aspri atas Dugaan Pelecehan Seksual, Iqlima Kim Terancam Dilapor Balik  https://t.co/ql09L5t83z",1
41,2022-04-30 03:56:33,wufley,"@mocca1202 @mhmdpikri18 @awwgie @ManusiaBiawak @CommuterLine ini bener. tiap ada kejadian kek gini selalu ""harus nya tuh harusnya tuh blbalbala""  kek kejadian pelecehan seksual, korbannya ngefreeze ga bisa berontak, isi rep nya malah ""harusnya cewe tuh belajar bela diri biar ga diem aja digituin"" PUKIMAK",28
42,2022-04-30 03:52:07,Info9019,"@scrxnb Dalam Pasal 184 KUHAP ada 5 barang bukti, keterangan saksi, keterangan ahli, surat dari tempat kerja, petunjuk, keterangan terdakwa. Ada 4 barang bukti yg dapat di ajukan tindakan pidana pelecehan seksual kecuali petunjuk.",3
43,2022-04-30 03:34:45,indeksncom,Terungkap! Anggota DPRD Ini Ditangkap Setelah 2 Tahun Lakukan Pelecehan Seksual  https://t.co/y5Z7r4FNLV,1
44,2022-04-30 03:20:31,1nserttranstv,Pengakuan Adik Barbie Hsu Alami Pelecehan Seksual dari Artis Senior  https://t.co/EY6srQt5AF,2
45,2022-04-30 03:20:02,jpnncom,Pengacara kondang Hotman Paris diduga melakukan pelecehan seksual terhadap mantan asisten pribadinya bernama Iqlima Kim #Hotmanparis  https://t.co/oAPzLrWB2H,3
46,2022-04-30 03:15:16,Joglosemarnews,"Usai Dilaporkan di Polres Sragen, Pengacara Kondang Hotman Paris Diduga Lakukan Pelecehan Seksual ke Artis Cantik Ini  https://t.co/UWx35mesJf",1
47,2022-04-30 03:10:03,jpnncom,"Bantah tudingan pelecehan seksual terhadap wanita yang mengaku mantan asisten pribadinya itu, Hotman Paris akan laporkan Iqlima Kim dan pengacara #Hotmanparis  https://t.co/6P2jWKHhgN",2
48,2022-04-30 02:24:35,royaldetective,asli kasus pelecehan seksual di kantor yg gue baca sampe saat ini semuanya serem serem banget,1
49,2022-04-30 02:19:03,idnsee_com,"Setelah Dua Tahun, Anggota DPRD di Papua Ditangkap Atas Dugaan Pelecehan Seksual  https://t.co/ISV3bvWZK7 #Terbaru #anggota #atas #ditangkap #dprd",1
50,2022-04-30 02:15:43,heihugmee,@scrxnb Korban pelecehan seksual itu adalah buktinya mba,1
51,2022-04-30 02:10:09,21BeritaTerkini,"Setelah Dua Tahun, Anggota DPRD di Papua Ditangkap Atas Dugaan Pelecehan Seksual  https://t.co/rGUSMKumLB",1
52,2022-04-30 02:10:08,mediamonitor21,"Setelah Dua Tahun, Anggota DPRD di Papua Ditangkap Atas Dugaan Pelecehan Seksual  https://t.co/zhdRUJiB8z",1
53,2022-04-30 02:06:06,beridotid,"Kasus dugaan pelecehan seksual terjadi di dalam kampus Universitas Mulawarman (Unmul). Kasus ini mencuat ketika mahasiwa dari berbagai elemen menggeruduk rektoran unmul pada Kamis, (28/04/22).   https://t.co/PIhpKkMcQt  https://t.co/EeRCW6eO5Q",3
54,2022-04-30 01:51:43,Esterchaterines,Pelaku pelecehan seksual,1
55,2022-04-30 01:22:17,ArintaSetia,@eLAmaravati Semisal pada kasus pelecehan seksual yang dilakukan seorang ayah terhadap putrinya sehingga bikin trauma. Lantas pas nikah apakah ayahnya ini masih pantas jadi wali nikah (jika muslim)?  Kasus2 kayak gini nggilani sih,1
56,2022-04-30 01:22:03,kbe_2014,Inilah Sosok Iqlima Kim Wanita Cantik yang Ngaku Jadi Korban Pelecehan Seksual Hotman Paris  https://t.co/sjkbdgljvp,1
57,2022-04-30 01:09:33,merdekadotcom,"Setelah Dua Tahun, Anggota DPRD di Papua Ditangkap Atas Dugaan Pelecehan Seksual  https://t.co/JIUIobXM6E",3
58,2022-04-30 01:04:13,Info9019,"@scrxnb Hallo kak @scrxnb kalau memang kirang sebanding, saya kira banyak jalur yang bisa di tempuh, dan saya kira UU pelecehan seksual baru saja di ketuk palu.. hanya saran, coba lapor ke serikat buruh di wilayah setempat, biar bisa dibantu jalur hukum.",3
59,2022-04-30 00:32:03,bacautas,"Haloo @ursaturn_ 😃👋 Selamat membaca! ""MAU SPILL PELECEHAN SEKSUAL YANG DIALAMIN KAKAK AKU DI KANTORNYA...""  https://t.co/aG1ScobflI",1
60,2022-04-30 00:25:55,jaja9888,"@catitaliste @xathrya Sempat progresif di tahun 50-70an masuk tahun 80an dengan maraknya gerakan yg mengklaim membawa revivalist islam mulai deh balik blangsak, tengok mesir, mesir identik dengan negara dengan tingkat pelecehan seksual terhadap perempuan yang tinggi,",27
61,2022-04-30 00:25:18,peachrsdef,laugh in that dosen kasus pelecehan seksual,1
62,2022-04-30 00:05:23,jualkelapamuda,"ada yg absurd, w pernah baca au yg pelecehan seksual gini, dan di cerita itu besoknya si korban bunuh diri dan arwahnya mlh blg thank you ke si pelaku krn dia jg emg gamau hidup.. lgsg w block anjr",1
63,2022-04-29 23:54:33,happymasterkt," https://t.co/8PikPbNvLg Disomasi Iqlima Kim dengan Tuduhan Pelecehan Seksual, Ini Jawaban Hotman Paris - detikHot  https://t.co/tyRYJ6H4e5  https://t.co/cTRyktaMxC",1
64,2022-04-29 23:47:32,CacatDiJiwaa,"@JamesDof @Askrlfess itu pelecehan seksual, kalo untuk barang bukti ya bisa aja. gila aja coli diruang publik masih bawa-bawa privasi, kelakuannya aja udah bisa dipidana.",2
65,2022-04-29 23:44:55,kopipolitik1,Artis Doctor Strange Zara Phythian Dituduh Lakukan Pelecehan Seksual pada Anak 13 Tahun  https://t.co/igWhWFUFtg,1
66,2022-04-29 23:42:56,cyerealll,wdym rt thread pelecehan seksual tp setelahnya rt video revenge porn....,1
67,2022-04-29 23:40:05,news_wanheart,"PANAS! Bantah Lakukan Pelecehan Seksual, Hotman Paris Segera Laporkan Iqlima Kim  https://t.co/8qYFMXLkmv",1
68,2022-04-29 23:39:48,faizahkilalakum,"Sebelum RUUPKS di sahkan banyak skali terjadi pelecehan seksual baik yg nampak maupun tdk nampak di media. Klu hanya wakil negara yg koar koar doang mana nyampe di masyarakat keseluruhan, musti ada penggerak untuk memutus tali kekerasan seksual itu. Orang2 yg peduli salah satunya",1
69,2022-04-29 23:38:18,news_wanheart,"Dugaan Pelecehan Seksual dari Hotman Paris, Iqlima Kim Ngaku Diajak Ciuman hingga Tidur Bareng  https://t.co/Oy53o3L1pe",1
70,2022-04-29 23:32:46,sabotasec,"@sigit_ngapak @rfshaa_ @scrxnb kalau untuk bagian perempuan agar bisa lebih menjaga dirinya sendiri dengan mempelajari bela diri, itu memang benar. tapi, laki-laki juga harus ikut serta menundukan pandangannya. semuanya harus ikut andil dalam pencegahan kasus pelecehan seksual.",58
71,2022-04-29 23:31:08,Freyyyyaaaaaa,"kalo ngmgin pelecehan seksual di tmpt kerja, yg dilakuin mas r****l termasuk pelecehan gasiiiiiih @Alif_arsenal @yspgw mba puttt",1
72,2022-04-29 23:10:32,SupirPete2,"Hotman Paris Diduga Lakukan Pelecehan Seksual, Iqlima Kim: Begitu Menolak, Dimaki-maki #HotmanParis via @jpnncom  https://t.co/IQe6XaAo6v",2
73,2022-04-29 23:08:53,syaztal,kiri kanan ku lihat saja banyak pelecehan seksual😔🙏🏼,1
74,2022-04-29 22:53:27,serambinews,"Artis sinetron bernama Iqlima Kim, mengaku mengalami pelecehan seksual dari pengacara kondang Hotman Paris Hutapea.   https://t.co/OhIZDSVxAk",2
75,2022-04-29 22:49:10,duitbansos,"""cewe sangean scare the shit outta me, itu knp w putus sama mantan gw, dia pernah coba raba raba paha dan maksa mau melorotin resleting celana gw, tp ya klo gw spill ini sbg tindakan pelecehan seksual, masyarakat apa bakal dukung gw?? malah yg ada ntar gw dikatain homo lu ye-",1
76,2022-04-29 22:41:01,karawang_online,Sosok Iqlima Kim Wanita Cantik yang Ngaku Jadi Korban Pelecehan Seksual Hotman Paris  https://t.co/p6BWgDgbKY,2
77,2022-04-29 22:40:49,karawang_online,"Tak Terima Dituding Lakukan Pelecehan Seksual, Hotman Paris Mau Polisikan Iqlima Kim dan Pengacaranya  https://t.co/rDlpZGn09O",2
78,2022-04-29 22:40:29,flowmeong,"W pernah anjing, kena pelecehan seksual dijalan sama temen w. Jadi ceritanya habis nongkrong pulang jam 11 an malem, biasanya di smg tu jam segitu masih rame di jalan, kebetulan malem itu sepi. Singkat cerita ni cowo kontol awalnya w sama temen ngiranya ojol yg kesasar kan nah -",1
79,2022-04-29 22:39:20,SINDOnews,Artis Doctor Strange Zara Phythian Dituduh Lakukan Pelecehan Seksual pada Anak 13 Tahun   #Sindonews #BukanBeritaBiasa . https://t.co/wVEIFM3LLK,1
80,2022-04-29 22:29:40,ahserea,"bebal, hamba do'ain anda ataupun keluarga anda gada yang jadi penyintas pelecehan seksual. Soalnya traumanya seumur hidup :)",0
81,2022-04-29 22:29:05,OposisiCerdas,"Dugaan Pelecehan Seksual dari Hotman Paris, Iqlima Kim Ngaku Diajak Ciuman hingga Tidur Bareng  https://t.co/0HslBGbOjn",36
82,2022-04-29 22:26:49,fallinsunshine_,"@trilukffialwsn Yg lelucon itu justru cukup dgn satu slide ini untuk menunjukkan bagaimana blundernya admin akun feminis ybs. ✨Kasus✨ yg diperdebatkan ini menyangkut seseorang yg ""main-main"" jadi cewek demi konten—yg memang bukan kekerasan seksual, tapi bisa dikategorikan pelecehan. Jelas klo—",2
83,2022-04-29 22:26:45,selfiathefirst,"@convomf Nder, kalau kamu gak nyaman, itu termasuk pelecehan seksual lhoo..",1
84,2022-04-29 22:21:09,kbe_2014,"Tak Terima Dituding Lakukan Pelecehan Seksual, Hotman Paris Mau Polisikan Iqlima Kim dan Pengacaranya  https://t.co/YXneIwtm6C",1
85,2022-04-29 22:21:03,kbe_2014,"Iqlima Kim Ngaku Pernah Jadi Korban Pelecehan Seksual Hotman Paris, Wawww….!  https://t.co/pJBiKSiyht",1
86,2022-04-29 22:16:05,heriwebcom,Iqlima Kim Mantan Aspri Hotman Paris Akui Alami Pelecehan Seksual di Dalam Mobil  https://t.co/Gy5USzUcrg,1
87,2022-04-29 22:14:26,detikhot,Iqlima Kim mengaku menyesal pernah menjadi asisten pribadi Hotman Paris lantaran dirinya mengaku telah mendapatkan pelecehan seksual dari pengacara kondang tersebut.  https://t.co/EfJTe4w5Tb,1
88,2022-04-29 22:07:22,pinkbutgreen,"Kalo kalian mau bahas relevansi antara pakaian tertutup dan tidak tertutup dengan kasus pelecehan seksual, lebih baik baca yang ini.  Pelaku salah, dan nggak ada dalih buat membenarkan.   https://t.co/G3k9WNPnnt",2
89,2022-04-29 22:02:44,suaraindonews_,Pengancara Nyentrik Hotma Paris Hutapea Diduga Lakukan Pelecehan Seksual terhadap Mantan Asprinya  https://t.co/0ZGRU7gigB,1
90,2022-04-29 22:02:36,topinfo_id,"Iqlima Kim Somasi Hotman Paris soal Dugaan Pelecehan Seksual, Kini Terancam Dilaporkan Balik  https://t.co/LtJeqAEhYV",1
91,2022-04-29 21:58:09,portalyogya,"Mantan Aspri Hotman Paris, Iqlima Kim mengaku mengalami pelecehan seksual yang diduga dilakukan oleh mantan bosnya.Berikut profil Iqlima Kim.  #portalyogya    https://t.co/soDpRik6lj",1
92,2022-04-29 21:50:28,vijhagstd,INI NAMANYA PELECEHAN SEKSUAL HER. ISTIGHFAR LU BANGKOTAN,1
93,2022-04-29 21:47:36,AthiaMu,"@robbyardi13 @SeputarTetangga Orang kalo udah punya penyimpangan seksual, ga kenal tempat bang :( Mau sesopan apapun orang berpakaian, mau laki-laki atau perempuan, ngga menjadi jaminan aman dr pelecehan:( Semoga selalu dilindungi dr hal-hal seperti ini deh",7
94,2022-04-29 21:45:22,wolipop,#Terpopuler Drama Korea Shooting Stars dituding telah menggambarkan Afrika secara rasis dan menampilkan adegan pelecehan seksual. Seperti apa?  https://t.co/P5HYUD9Re7,2
95,2022-04-29 21:36:05,intipseleb,"Sanggah Tuduhan Pelecehan Seksual, Hotman Paris: Itu Tidak Benar  https://t.co/her8Ckj4Ao  https://t.co/BhlbQzhQ79",1
96,2022-04-29 21:32:55,alleshutapea,"Jika benar Iqlima Kim alami pelecehan seksual dari pengacara kondang Hotman Paris Hutapea.Maka saran saya kepada Iqlima Kim agar SEGERA LAPOR si HOTMAN PARIS HUTAPEA ini Ke Polda Metro Jaya!Jangan hanya banyak bacot di Medsos!Setelah Keluar sebagai Aspri langsung Nyanyi,PARAH!",1
