,date,username,tweet,nlikes,label
0,4/30/2022 5:22,airisk_,@tvindonesiawkwk Kalo cewe jual video syur cepet banget nangkepnya tapi kalo cowo pelaku kekerasan seksual dan para koruptor kok lama banget ya prosesnyaðŸ§ðŸ˜ž,10,not urgent
1,4/30/2022 4:15,idntimes,"A (23) adalah penyintas korban percobaan kekerasan seksual di Surabaya yang berhasil melarikan diri dari aksi bejat pelaku, yang merupakan temannya sendiri. Kejadian melarikan diri dari pelaku ini, terjadi pada 10 April 2022 lalu. Berikut ceritanya.   https://t.co/Wxc22rnSWt",0,urgent
2,4/30/2022 4:10,tudungsaaji,"@scrxnb UU TPKS udah bisa digunakan buat menjerat pelaku kekerasan seksual gasi guys? soalnya pernah baca seingetku kalo kejadiannya cuma ada pelaku dan korban itu juga di atur di UU itu, seenggaknya mungkin kakaknya sender dapat layanan pemulihan. miris ",0,not urgent
3,4/30/2022 1:03,eLAmaravati,"Gak heran banyak anak yang diam ketika mengalami kekerasan/kekerasan seksual dari orang tuanya. Gue baru bilang gak harmonis ama ibu aja banyak yang salty. Kalian tinggal di dunia bagian mana, sih, sampai menganggap bahwa orang tua adalah berhala yang harus dipuja-puja?",18,not urgent
4,4/30/2022 6:55,jawuwawy,"@andreasharsono Sama kaya di kampus saya, korban pelecehan seksual justru dapat sanksi tidak dapat pelayanan akademik selama 2 semester, alasannya karena dia dianggap bersalah mau diajak bertemu laki-laki di malam hari. Sangat lucu ketika korbannya justru",2,not urgent
5,4/30/2022 6:45,Gitgutgotta,Reply nya byk juga yg udh jadi korban pelecehan seksual beginiâ€¦ takut,1,not urgent
6,4/30/2022 6:34,lndomigoreng,"ini temanku mengalami pelecehan seksual, dan yang laki - laki sudah tua tapi gak merasa tua. lah korbannya gak berani lapor ke keluarganya terus laki - lakinya juga pernah menggoda adikku. setelah aku olok - olok, aku kira gak bakal sebrutal itu ternyata lebih dari brutal anjing..",7,urgent
7,4/30/2022 6:20,CommuterLine,Kenali juga bentuk-bentuk pelecehan seksual agar kita tidak menjadi korbannya dan tahu ketika ada Rekan Commuters yang sedang mengalaminya. Segera laporkan kepada petugas di stasiun maupun kereta apabila melihat tindakan-tindakan yang mencurigakan. |2  https://t.co/EIQ93Xyo4R,5,not urgent
8,4/30/2022 5:35,apasiikamutu," @Askrlfess mjb, itu pelaku pelecehan seksual kak  https://t.co/oHG6AocH9z setelah ngomong gitu dia ngunci badan kakakku dengan peluk kakakku dari belakang (btw posisi dia dari awal minta minyak angin udah di belakang kakakku) sambil remes remes payudara kakakku... kakakku panik bangett shock membeku seketika.",3,urgent
9,4/30/2022 5:08,holahaloble,"Demi Allah ko banyak bgt pelecehan seksual sih ðŸ¥² apa ya kek orang2 norak bgt dah pikirannya...kayak... Apalagi sm yg ""ya lagi bajunya kebuka""... Mksdnya kek lu norak banget anjir kek gaperna liat org aja tae",1,not urgent
10,4/30/2022 5:03,nagatauww,"Kayaknya emang bener ya masih banyak pikiran2 kolot kalo ada tindakan pelecehan seksual pasti nyalahin korban dulu, langsung labelling korban yg ngga2, kebiasaan judgemental sampe nganggep kalo masalah kaya gitu tu lumrah buat sering terjadi. Hadu,memang suka ga abis thinking dah",2,urgent
11,4/30/2022 5:00,nagatauww,"Siapapun itu deh, mau gendernya laki - laki kek perempuan kek usia berapapun ya emang namanya tindakan pelecehan seksual emang gapantes dan biadab, dan gada satupun orang yg mau buat jadi korbannya. Kata2 udah siap dilecehkan kayaknya jahat banget apalagi dilontarkan buat korban.",1,not urgent
12,4/30/2022 4:57,nagatauww,"ga sengaja baca berita kalo hotman paris melakukan pelecehan seksual sm asprinya, di kolom komen portal beritanya ada yg bilang ""harusnya udah tau dong klo jadi asprinya dia udah siap untuk dilecehkan"". Kayak hah anjg? Gada satupun perempuan yg siap untuk dilecehkan ya.",1,not urgent
13,4/30/2022 4:13,diahayu__L,@wakaraanaii @tanyakanrl Gak juga sih untuk bagian ini. Karna aku pernah kena pelecehan seksual ketika pake baju seragam sekolah yang bener-bener longgar &amp,,urgent
14,4/30/2022 3:56,wufley," @mhmdpikri18 @awwgie @ManusiaBiawak @CommuterLine ini bener. tiap ada kejadian kek gini selalu ""harus nya tuh harusnya tuh blbalbala""  kek kejadian pelecehan seksual, korbannya ngefreeze ga bisa berontak, isi rep nya malah ""harusnya cewe tuh bela diri""",28,urgent
15,4/30/2022 3:34,indeksncom,Terungkap! Anggota DPRD Ini Ditangkap Setelah 2 Tahun Lakukan PelecehanÂ Seksual  https://t.co/y5Z7r4FNLV  Setelah bertemu pelaku membawa korban ke salah satu penginapan dan melakukan pelecehan terhadap korban,1,urgent
16,4/30/2022 3:20,1nserttranstv,"Pengakuan Adik Barbie Hsu Alami Pelecehan Seksual dari Artis Senior  https://t.co/EY6srQt5AF Dee mengungkapkan hal itu sambil mengelus tangan Caihua. Hal ini menggambarkan apa yang dilakukan sang host terhadap Dee Hsu.

""Dan pada momen ini, dia akan mendorong menyelipkan tangannya di bawah ketiaknya dan berkata, 'Sangat lucu! Kalian berdua harus bekerja keras,"" kata Dee Hsu menirukan ucapan pembawa acara itu.",2,urgent
17,4/30/2022 3:20,jpnncom,Pengacara kondang Hotman Paris diduga melakukan pelecehan seksual terhadap mantan asisten pribadinya bernama Iqlima Kim #Hotmanparis  https://t.co/oAPzLrWB2H Dia hanya mengeklaim pernah mendapat pelecehan seksual berupa verbal dan non verbal,3,urgent
18,4/30/2022 2:24,royaldetective,asli kasus pelecehan seksual di kantor yg gue baca sampe saat ini semuanya serem serem banget,1,not urgent
19,4/30/2022 2:06,beridotid,"Kasus dugaan pelecehan seksual terjadi di dalam kampus Universitas Mulawarman (Unmul). Kasus ini mencuat ketika mahasiwa dari berbagai elemen menggeruduk rektoran unmul pada Kamis, (28/04/22).   https://t.co/PIhpKkMcQt  https://t.co/EeRCW6eO5Q  Modusnya korban diminta untuk memijat oknum dosen selama 2 jam, tidak hanya minta dipijat oknum dosen tersebut meminta untuk di buka kaos kaki dan dipasangkan kembali. Hingga pelaku menaikkan kakinya keatas paha mahasiswi.  ",3,urgent
20,4/30/2022 1:22,ArintaSetia,@eLAmaravati Semisal pada kasus pelecehan seksual yang dilakukan seorang ayah terhadap putrinya sehingga bikin trauma. Lantas pas nikah apakah ayahnya ini masih pantas jadi wali nikah (jika muslim)?  Kasus2 kayak gini nggilani sih,1,not urgent
21,4/30/2022 0:32,bacautas,"Haloo @ursaturn_ ðŸ˜ƒðŸ‘‹ Selamat membaca! ""MAU SPILL PELECEHAN SEKSUAL YANG DIALAMIN KAKAK AKU DI KANTORNYA...""  https://t.co/aG1ScobflI  ga lama setelah si T pergi, si pelaku ini minta minyak angin ke kakakku dikasih lah minyak angin sama kakakku. pas kakakku kasih minyak angin si pelaku nyeletuk gini ke kakakku 
""lo mau gue usapin minyak kayu putih juga ga diperutnya?"" kakakku udah mulai panik tu",1,urgent
22,4/30/2022 0:05,jualkelapamuda,"ada yg absurd, w pernah baca au yg pelecehan seksual gini, dan di cerita itu besoknya si korban bunuh diri dan arwahnya mlh blg thank you ke si pelaku krn dia jg emg gamau hidup.. lgsg w block anjr",1,urgent
23,4/29/2022 23:47,CacatDiJiwaa,"@JamesDof @Askrlfess itu pelecehan seksual, kalo untuk barang bukti ya bisa aja. gila aja coli diruang publik masih bawa-bawa privasi, kelakuannya aja udah bisa dipidana.",2,not urgent
24,4/29/2022 23:44,kopipolitik1,"Artis Doctor Strange Zara Phythian Dituduh Lakukan Pelecehan Seksual pada Anak 13 Tahun  https://t.co/igWhWFUFtg Wanita itu menjelaskan bahwa pelecehan dimulai ketika Phythian memberinya alkohol dan membujuknya untuk melakukan seks oral dengan Marke. Dia bersaksi bahwa dia merasa seolah-olah Phythian melatihnya untuk menjadi lebih baik dalam aktivitas seksual.  Berdasarkan laporan BBC, wanita itu juga mengatakan Marke mengancam akan menyakitinya jika dia memberi tahu siapa pun tentang dugaan pelecehan itu.",1,urgent
25,4/29/2022 23:39,faizahkilalakum,"Sebelum RUUPKS di sahkan banyak skali terjadi pelecehan seksual baik yg nampak maupun tdk nampak di media. Klu hanya wakil negara yg koar koar doang mana nyampe di masyarakat keseluruhan, musti ada penggerak untuk memutus tali kekerasan seksual itu. Orang2 yg peduli salah satunya",1,not urgent
26,4/29/2022 23:38,news_wanheart,"Dugaan Pelecehan Seksual dari Hotman Paris, Iqlima Kim Ngaku Diajak Ciuman hingga Tidur Bareng  https://t.co/Oy53o3L1pe",1,urgent
27,4/29/2022 23:32,sabotasec,"@sigit_ngapak @rfshaa_ @scrxnb kalau untuk bagian perempuan agar bisa lebih menjaga dirinya sendiri dengan mempelajari bela diri, itu memang benar. tapi, laki-laki juga harus ikut serta menundukan pandangannya. semuanya harus ikut andil dalam pencegahan k",58,not urgent
28,4/29/2022 23:10,SupirPete2,"Hotman Paris Diduga Lakukan Pelecehan Seksual, Iqlima Kim: Begitu Menolak, Dimaki-maki #HotmanParis via @jpnncom  https://t.co/IQe6XaAo6v  Ancaman enggak ada, tetapi begitu menolak keinginan beliau dimaki-maki, ucap Iqlima. Tak hanya itu, dia bahkan mengaku pernah ditampar karena menolak permintaan Hotman Paris. Aku menolak salah satu ajakan dari beliau pipi aku ditampar, mungkin menurut beliau hal sepele dan biasa beliau ketawa-tawa, kata Iqlima Kim.
",2,urgent
29,4/29/2022 22:49,duitbansos,"""cewe sangean scare the shit outta me, itu knp w putus sama mantan gw, dia pernah coba raba raba paha dan maksa mau melorotin resleting celana gw, tp ya klo gw spill ini sbg tindakan pelecehan seksual, masyarakat apa bakal dukung gw?? malah yg ada ntar gw dikatain homo lu ye-",1,urgent
30,4/29/2022 22:40,flowmeong,"W pernah anjing, kena pelecehan seksual dijalan sama temen w. Jadi ceritanya habis nongkrong pulang jam 11 an malem, biasanya di smg tu jam segitu masih rame di jalan, kebetulan malem itu sepi. Singkat cerita ni cowo kontol awalnya w sama temen ngiranya ojol yg kesasar kan nah - Singkat cerita, w tolak kan itu. G mau kasih username ig, trus tbtb dia nyalip dan sambil coli anjinggggggg. Tp w ga liat si untungnya. Yg liat temen w karena yg depan temen w. Sampe w trauma njjr keluar malem. Habistu w g prnh keluar malem lagi. Cowo ky gini tu biadap sih aslii",1,not urgent
31,4/29/2022 22:26,selfiathefirst," Nder, kalau kamu gak nyaman, itu termasuk pelecehan seksual lhoo.. kepikiran trus di otak aku, aku merasa jijik banget. jadi aku punya pacar,
kita kenal lewat online, nah semalam ternayta dia lagi horny pas kita lagi
telponan. trus dia kayak coli. dia kayak nyuruh aku ngedesah sambil dia ngebayangin
lagi meremas payudara aku. aaa aku sampe kepikiran trus sama apa yang dia omongin.
aku harus gimana? kalo mau putusin, gimana cara bilangnya? 
 ",1,urgent
32,4/29/2022 22:07,pinkbutgreen,"Kalo kalian mau bahas relevansi antara pakaian tertutup dan tidak tertutup dengan kasus pelecehan seksual, lebih baik baca yang ini.  Pelaku salah, dan nggak ada dalih buat membenarkan.   https://t.co/G3k9WNPnnt  Selama ini korban pelecehan seksual banyak disalahkan karena dianggap 'mengundang' aksi pelecehan dengan memakai baju seksi atau jalan sendiri di malam hari. Tapi semua anggapan itu bisa dibantah dengan hasil survei ini. Hasil survei ini jelas menunjukkan bahwa perempuan bercadar pun sering dilecehkan, bahkan pada siang hari,""
",2,not urgent
33,4/29/2022 21:50,vijhagstd,"INI NAMANYA PELECEHAN SEKSUAL HER. ISTIGHFAR LU BANGKOTAN.   kamu kira, pakai kemeja dan celana ketat ke kantor nggak bikin banyak mata lapar?
aku pastiin kita ketemu lagi. dan di situ jangan harap kamu lepas. au jadiin kamu punyaku.
nangis - nangis keenakaan di bawahku.",1,urgent
34,4/29/2022 21:47,AthiaMu,"@robbyardi13 @SeputarTetangga Orang kalo udah punya penyimpangan seksual, ga kenal tempat bang :( Mau sesopan apapun orang berpakaian, mau laki-laki atau perempuan, ngga menjadi jaminan aman dr pelecehan:( Semoga selalu dilindungi dr hal-hal seperti ini d",7,not urgent
35,4/29/2022 21:26,Lofaca0,"@abykurniawannn Hai! Itu dia berkata kasar karena dia udh hampir nyerah dan dia mungkin ngelampiasinnya dgn berkata kasar. Dibalik hal itu, apakah menurut anda pelecehan seksual pantas diterima oleh org yg berkata kasar?!",6,not urgent
36,4/29/2022 20:56,chocolacaaa,@AREAJULID temen aku jg ada yg kena pelecehan seksual. katingnya cuma di skors dari himpunan. kesia skrg temen ku depresi sampe pen bundir beberapa kaliðŸ¤§,1,urgent
37,4/29/2022 20:43,studybrumbrum,"@scrxnb Pelecehan seksual di kantor lebih serem yaðŸ¥² semua kasus pelecehan emg serem"" bgt, tp kl dikampus biasanya kating"" organisasi ada yg mau bantu, tp kl di kantor banyak yg tutup mulut (ga semuanya jg). Semoga kakanya lekas pulih mental dsbnyaaðŸ¥°",595,not urgent
38,4/29/2022 20:01,wechienak,"@Eudaimonia7_ @your_littleluv @amsalfoje @shabrinaf_ Jadi inget kasus pelecehan seksual di masjid. Crossdress pake mukena, terus noel pantat cewek waktu sujud.",3,urgent
39,4/29/2022 19:50,HistoryOfSunsh1,"aku aja sering mainin titid adikku ketika dia tertidur hihi, rasanya lucu2 gimana
gitu, tapi bukan karna nafsu ya, cewe2 yang punya adik cowo pasti pernah",1,urgent
40,4/29/2022 19:38,heesclouds,kasus pelecehan di kampusku. bener-bener fucked up sih. anak lpm dikepung di sekret sama anak ukm yg menaungi pelaku. disuruh TD artikel terkait pelecehan seksual yg emg dilakukan oleh anggota ukm tsb.,1,not urgent
41,4/29/2022 19:20,yoursadfuckboi,@Hopeless1945 @ManusiaBiawak @CommuterLine Ya itu pelecehan seksual buat yang jadi objeknya dia loh mas. Entah dia liat siapa. Apalagi tempat umum,1,not urgent
42,4/29/2022 19:15,GyanayoKy,"Ternyata gk sedikit dari perempuan2 yang bicara tentang pelecehan seksual, mereka mengalaminya, sebagai korban, dan setiap mau cerita, pasti ada embel2nya ""aku gk cerita ini kesiapa2"" dengan alasan takut disalahin dan malu juga.",1,urgent
43,4/29/2022 19:13,jalur5_,Yuk belajar menahan nafsu seksual di tempat umum. Tindakan masturbasi di depan umum sudah termasuk pelecehan seksual. Salurkan nafsu seksual teman-teman di tempat tertutup yah.,3,urgent
44,4/29/2022 18:33,wow_keren,"Patut Diwaspadai, Ini 8 Jenis Pelecehan Seksual yang Sering Terjadi di Dunia Maya #SerbaSerbi  https://t.co/hZaqR79YAh  https://t.co/f9XitZYcND",1,not urgent
45,4/29/2022 18:31,gugudangie,"hmmm berarti au au yang menceritakan boss yang merkosa pegawainya trus jadi daddy sama baby gitu, pelecehan seksual  juga dong? wkwkw",1,urgent
46,4/29/2022 16:48,saaaaaachannnn,"@ssaaffffff Ga habis pikir aku sama yang kayak gitu. Padahal trauma pelecehan seksual bisa bertahun-tahun, ga logis banget korban mau nikah sama pelaku. Berinteraksi tanpa rasa takut aja susah.   Nah iya ini minor nih yany bebal dikasih tauu, emg sekarang",1,urgent
47,4/29/2022 16:45,Oyenpalingkuat,"@AREAJULID Gak pantas jadi pengacara, baik udah lulus kuliah hukum atau belum. Maaf kalau saya ngomong gini. Bayangin aja kalau misalnya kita/dia di posisi korban. Pelecehan seksual yang dilakukan pelaku bukan secara 'spontan'. Sampai korbannya sepuluh or",1,not urgent
48,4/29/2022 16:07,meisarasinaga,Meromantisasi pelecehan seksual. Unfaedah skli ya author nya,1,not urgent
49,4/29/2022 15:59,mejikuhibinad,"@convomfs wtf this is au, pelecehan seksual itu gk boleh disalahgunakan gini dong keterlaluan bgt ini mh  walaupun si pelaku mau tanggung jawab minimal tindak pidana harus ditegakkan disini jgn bikin org"" berangan angan tntng hal yg bodoh gini, yg bikin a",0,not urgent
50,4/29/2022 15:51,baryoism,"@arprynnd Kalo kayak gitu, pada akhirnya pemerintah gak berperan dalam pencegahan kekerasan dan pelecehan seksual yang nyata terutama pada perempuan.",1,not urgent
51,4/29/2022 15:24,WlNTEU,"@AREAJULID Menganggap pelecehan itu hal yang normal. Pelecehan seksual itu sadar, tidak spontan dan semua keputusan itu udah disetujuin oleh dirinya. Dia memilih menjadi pelaku pelecehan, berarti dia harus menerima konsekuensi dari perbuatannya. Ah kampre",129,not urgent
52,4/30/2022 6:58,lembaranbaru24,"Pelaku ini jahat banget,! jangan judge korban kalau membeku, ada istilah tonic immobility, ketika dalam ketakutan sangat kita ngga bisa bergerak sama sekali, banyak korban pelecehan yang mengalami ini, alhamdulillahnya si korban akhirnya bisa melawan",13,not urgent
53,4/30/2022 6:55,jawuwawy,"@andreasharsono Sama kaya di kampus saya, korban pelecehan seksual justru dapat sanksi tidak dapat pelayanan akademik selama 2 semester, alasannya karena dia dianggap bersalah mau diajak bertemu laki-laki di malam hari. Sangat lucu ketika korbannya justru",2,urgent
54,4/30/2022 6:45,Gitgutgotta,Reply nya byk juga yg udh jadi korban pelecehan seksual beginiâ€¦ takut,1,urgent
55,4/30/2022 5:03,nagatauww,"Kayaknya emang bener ya masih banyak pikiran2 kolot kalo ada tindakan pelecehan seksual pasti nyalahin korban dulu, langsung labelling korban yg ngga2, kebiasaan judgemental sampe nganggep kalo masalah kaya gitu tu lumrah buat sering terjadi. Hadu,memang suka ga abis thinking dah",2,not urgent
